titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
"Responsable Technique, Traitement Communautaire du VIH- Sud",Family Health International (FHI360),29 Juil 2025,Cayes,Santé et Professions médicales,Santé Publique,Licence,4.0,,"['Connaissance des services de soins et traitement VIH', 'Dépistage', 'AHD', 'PTME', 'EID']",https://jobpaw.com/professionals/job-details?idj=17228
Spécialiste pour la réalisation de l’évaluation à mi-parcours du programme PIP V,Unite Technique d'Execution du Ministere de l'Economie et des Finances,2 Aout 2025,Port-au-Prince,Sciences économiques et politiques,Statistiques,Master,10.0,CDI,"['Compétences en recherche et en analyse de données', 'Compétences solides en coordination', 'Dialogue avec les parties prenantes publiques', 'Dialogue avec les parties prenantes privées', 'Connaissance des enjeux socio-économiques de la région Nord d’Haïti']",https://jobpaw.com/professionals/job-details?idj=17229
Ingénieur des systèmes photovoltaïques,prive,30 Juil 2025,Port-au-Prince,Sciences de l’Ingénieur,Ingenieur Télécoms,Master,5.0,CDD,"['Conception et ingénierie des systèmes photovoltaïques', 'Gestion d’équipe', 'Création de documents de conception détaillés', 'Conformité avec les codes et normes', 'Collaboration avec les chefs de projet']",https://jobpaw.com/professionals/job-details?idj=17230
Officier Technique Senior – PTME et VIH pédiatrique,Family Health International (FHI360),22 Sept 2025,Petion-ville,Santé et Professions médicales,Santé Publique,Master,6.0,CDD,"['Bonne maîtrise du système de santé en Haïti', 'Compétences en rédaction de rapports', 'Analyse', 'Présentation orale', 'Communication']",https://jobpaw.com/professionals/job-details?idj=17231
Chef(fe) de mission,Diagnostic & Development Group S.A (DDG),8 Aout 2025,,Agriculture – Agroalimentaire,Aquaculture,Master,10.0,CDD,"['planification', 'gestion d’équipe', 'suivi budgétaire', 'r rédaction de rapports techniques', 'r rédaction de rapports financiers']",https://jobpaw.com/professionals/job-details?idj=17233
Finance Manager,Zanmi Lasante/PIH,4 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDD,"['Leadership et gestion quotidienne des composantes financières du projet', 'Préparation des rapports financiers mensuels', ""Développement de budgets et de plans d'action"", 'Supervision du travail du comptable de subventions et du comptable des feuilles de temps', 'Conformité aux normes administratives et financières']",https://jobpaw.com/professionals/job-details?idj=17234
Agent de terrain Généraliste,International Committee of Red Cross / Comite International de la Croix-Rouge,5 Aout 2025,Petion-Ville,Sciences Humaines et Sociales,Sciences Humaines,Licence,4.0,CDD,"['Excellente capacité de communication', ""Capacité d'adaptation à un environnement changeant"", 'Bonne connaissance de la ZMPP', 'Sens développé de la discrétion, de la neutralité et du travail en équipe', 'Disponibilité et flexibilité pour de fréquentes missions sur le terrain']",https://jobpaw.com/professionals/job-details?idj=17235
Haiti Market Analyst for Youth-Led Microenterprise Initiative,Friends of Cite Soleil,9 Aout 2025,Cap-Haitien,Sciences économiques et politiques,Economie,Non précisé,5.0,CDD,"['Expérience significative en études de marché pluridimensionnelles.', 'Connaissance du tissu entrepreneurial haïtien et diasporique.', 'Expérience dans l’accompagnement de projets verts, sociaux ou communautaires.', 'Maîtrise des outils de collecte et d’analyse de données (qualitative et quantitative).', 'Maîtrise de l’anglais, du français et du créole haïtien.']",https://jobpaw.com/professionals/job-details?idj=17236
Chef de projet,WeltHungerHilfe (Agro Action Allemande),7 Aout 2025,Ouanaminthe,Agriculture – Agroalimentaire,Agronomie,Master,4.0,CDI,"['Communiquer efficacement tant à l’interne qu’à l’externe', 'Supervision hiérarchique du personnel impliqué dans le projet', 'Prise de décisions de manière autonome', 'Comprendre la thématique de gestion des eaux pour des activités agricoles', 'Excellentes compétences en coordination avec l’ensemble des parties prenantes']",https://jobpaw.com/professionals/job-details?idj=17237
Agent.e de plaidoyer et de communications,Avocats sans frontières Canada,12 Aout 2025,Cap-Haitien,Communication et Journalisme,Communication,Non précisé,3.0,CDD,"['Excellentes capacités en relations interpersonnelles', 'Capacités à convaincre et mobiliser', 'Excellent sens de l’organisation', 'Esprit d’initiative', 'Rigueur et débrouillardise']",https://jobpaw.com/professionals/job-details?idj=17238
Agent.e en égalité de genre,Avocats sans frontières Canada,12 Aout 2025,Cap-Haitien,Sciences Humaines et Sociales,Sciences Humaines,Non précisé,3.0,CDD,"['Bonne connaissance des enjeux liés à la justice, aux droits humains et à la lutte contre l’impunité', 'Maîtrise des outils d’analyse genre et de suivi-évaluation sensible au genre', 'Excellentes capacités en relations interpersonnelles, capacités à convaincre et mobiliser', 'Excellent sens de l’organisation, esprit d’initiative, rigueur et débrouillardise', 'Excellentes aptitudes à la communication orale et écrite en français et en créole']",https://jobpaw.com/professionals/job-details?idj=17239
"Agent.e suivi, évaluation et apprentissage",Avocats sans frontières Canada,12 Aout 2025,Cap-Haitien,Sciences Humaines et Sociales,Sciences Humaines,Non précisé,3.0,CDD,"['maîtrise des outils de suivi et évaluation', 'bonne maîtrise d’Excel', 'expérience dans la formation et l’accompagnement des partenaires locaux', 'excellente capacité de communication', 'capacité pour le travail d’équipe en contexte multidisciplinaire']",https://jobpaw.com/professionals/job-details?idj=17240
Agent.e de projet - Accès à la justice et litige stratégique,Avocats sans frontières Canada,12 Aout 2025,Port-au-Prince,Droit,Sciences juridiques,Licence,3.0,CDD,"['Formation universitaire en droit', 'Expérience de pratique professionnelle juridique', 'Expérience en matière de gestion de partenariats', 'Connaissances et expérience en matière d’égalité des genres', ""Excellente capacité d'organisation""]",https://jobpaw.com/professionals/job-details?idj=17241
Agent.e de projet – Mobilisation citoyenne et plaidoyer,Avocats sans frontières Canada,12 Aout 2025,Cap-Haitien,Droit,Sciences juridiques,Licence,3.0,CDD,"['Connaissance de la législation applicable en matière de droits humains en Haïti', 'Capacités pour le travail d’équipe en contexte multidisciplinaire', 'Excellente capacité d’organisation', 'Esprit d’initiative', 'Excellentes capacités de synthèse']",https://jobpaw.com/professionals/job-details?idj=17242
"Technicien.ne en Administration, finance et logistique",Avocats sans frontières Canada,12 Aout 2025,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Non précisé,3.0,CDD,"[""Travail d'équipe"", 'Entregent', 'Intelligence interpersonnelle', 'Initiative', 'Débrouillardise']",https://jobpaw.com/professionals/job-details?idj=17243
Conseiller.ère juridique - mobilisation citoyenne,Avocats sans frontières Canada,12 Aout 2025,Cap-Haitien,Droit,Sciences juridiques,Licence,4.0,CDD,"['Expérience de pratique professionnelle juridique', 'Connaissances et expérience en matière d’égalité des genres', 'Connaissance de la législation applicable en matière de droits humains en Haïti', 'Forte motivation associative', 'Capacités pour le travail d’équipe en contexte multidisciplinaire']",https://jobpaw.com/professionals/job-details?idj=17244
Chauffeur-euse de véhicules légers,International Committee of Red Cross / Comite International de la Croix-Rouge,9 Aout 2025,Petion-Ville,Sciences Humaines et Sociales,Sciences Sociales,Non précisé,3.0,CDD,"['Diplôme d’études secondaires ou niveau Terminale', 'Titulaire d’un permis de conduire catégorie voiture, obtenu depuis au moins 5 ans', ""Minimum 3 ans d'expérience en tant que chauffeur professionnel pour une organisation internationale, une ONG ou une entreprise privée"", 'Expérience en conduite 4x4 exigée', 'Bonne maîtrise du français parlé et écrit']",https://jobpaw.com/professionals/job-details?idj=17245
Coordonnateur des Réseaux Clients,REBO S.A.,9 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Licence,3.0,CDI,"['Excellentes compétences relationnelles et commerciales', 'Bonne connaissance orale et écrite de la langue française', 'Bonne capacité à résoudre les problèmes et les conflits', ""Bonne capacité d'écoute et d'analyse"", 'Organisation et rigueur']",https://jobpaw.com/professionals/job-details?idj=17246
Bookkeeper,Chemonics / GHSC-PSM,11 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,2.0,CDI,"['Fluency in written and spoken English required', 'Bachelor’s degree in accounting, finance, or related field is required', 'At least two years of relevant experience in accounting and financial and procurement management', 'Advanced computer skills in MS Office word processing and spreadsheets software required', 'Ability to prioritize work assignments and exercise professional judgment required']",https://jobpaw.com/professionals/job-details?idj=17247
Security Manager,Chemonics International Inc. / FEWS NET 8 Decision Support,13 Aout 2025,Port-au-Prince,Sécurité,Sécurité,Non précisé,5.0,CDI,"['Gestion des risques de sécurité', 'Analyses politiques et sécuritaires', 'Rédaction de rapports', 'Communication efficace', 'Maîtrise des applications MS Office']",https://jobpaw.com/professionals/job-details?idj=17249
Assistant (e) Admonistratif(ve) et Logistique,Unite Technique d'Execution du Ministere de l'Economie et des Finances,14 Aout 2025,Jacmel,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Non précisé,2.0,CDI,"['Excellentes capacités rédactionnelles et de communication en français', 'Sens des responsabilités, de la hiérarchie et de la confidentialité', 'Rigueur dans l’application des normes et des procédures', 'Autonomie', 'Capacité à travailler sous pression']",https://jobpaw.com/professionals/job-details?idj=17250
Spécialiste en communication et en engagement citoyen,MARNDR/Territoires Productifs Résilients II,14 Aout 2025,Port-au-Prince,Communication et Journalisme,Communication,Licence,10.0,CDI,"['Capacités de synthèse, d’analyse et de conceptualisation', 'Facilité de rédaction', 'Connaissance des méthodes, outils et techniques de communication', 'Familiarité avec les procédures de la Banque Mondiale ou de tout autre bailleur', 'Très bonne connaissance et maîtrise de l’outil informatique']",https://jobpaw.com/professionals/job-details?idj=17251
Coordinateur(trice) de bureau – Sud,Family Health International (FHI360),15 Aout 2025,Cayes,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,5.0,CDD,"['Maîtrise du français et du créole (oral et écrit)', 'Anglais avancé souhaité', 'Maîtrise des outils informatiques', 'Excellentes aptitudes en communication et en rédaction', 'Bonnes compétences en communication et en collaboration avec les collègues']",https://jobpaw.com/professionals/job-details?idj=17253
Coordinateur(trice) de bureau – Nord,Family Health International (FHI360),15 Aout 2025,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,5.0,CDD,"['Maîtrise du français et du créole à l’écrit et à l’oral', 'Maîtrise des outils informatiques', 'Bonnes compétences en communication et en rédaction', 'Bonne connaissance des procédures administratives de gestion de bureau', 'Respect de la confidentialité']",https://jobpaw.com/professionals/job-details?idj=17255
"Directeur (trice) Associé(e), Sécurité et Sûreté",Family Health International (FHI360),15 Aout 2025,Petion-Ville,Sécurité,Sécurité,Licence,10.0,CDD,"['Capacité démontrée à évaluer et gérer les risques de sécurité dans des environnements touchés par les conflits ou instables politiquement.', 'Solide connaissance des cadres de gestion des risques propres aux ONG, des principes humanitaires et des obligations liées au devoir de diligence.', 'Excellentes compétences interpersonnelles avec aptitude à influencer, conseiller et soutenir la haute direction et les équipes terrain.', 'Maîtrise des techniques de négociation, de planification de scénarios, d’élaboration de plans de contingence et de gestion de crise.', 'Expérience dans l’animation de formations, simulations et séances d’information sur la sécurité auprès de publics multiculturels.']",https://jobpaw.com/professionals/job-details?idj=17256
Chef Comptable KSA,Arômes des Caraïbes S.A.,19 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Sciences Comptables,Licence,5.0,CDI,"['Maîtrise du logiciel comptable Quickbooks', 'Maîtrise des logiciels bureautiques (Word, Excel, Powerpoint)', 'Bonne connaissance de la législation fiscale et comptable haïtienne', 'Sens de l’organisation', 'Rigueur']",https://jobpaw.com/professionals/job-details?idj=17257
Ingénieur WASH,Fondazione CESVI Onlus,19 Aout 2025,Port-au-Prince,Sciences de l’Ingénieur,Eau & Assainissement,Non précisé,4.0,CDD,"['Diplôme universitaire en génie civil, sanitaire, gestion WASH, ou domaine connexe.', 'Minimum 4 ans d’expérience dans des fonctions similaires dans un contexte humanitaire.', 'Connaissance pratique des standards SPHERE en matière de WASH, abris, infrastructures et hygiène.', 'Capacité démontrée à travailler avec des comités communautaires, à mobiliser et former.', 'Rigueur, sens de l’organisation, capacités en planification et coordination sur le terrain.']",https://jobpaw.com/professionals/job-details?idj=17258
Assistant (e) aux Achats,prive,19 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Licence,3.0,CDI,"['Excellente connaissance informatique des logiciels courants', ""Flexibilité pour s'adapter à l'évolution des besoins"", 'Compétences organisationnelles', 'Compétences multitâches et de gestion du temps.', 'Bonne capacité à travailler sous supervision']",https://jobpaw.com/professionals/job-details?idj=17259
Assistant (e) a la Trésorerie,prive,19 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,3.0,CDI,"['Excellente connaissance informatique des logiciels courants', ""Flexibilité pour s'adapter à l'évolution des besoins"", 'Compétences organisationnelles', 'Compétences multitâches et de gestion du temps', 'Avoir de bonnes aptitudes en communication et relations interpersonnelles']",https://jobpaw.com/professionals/job-details?idj=17260
Responsable Financier à l'Unité de Gestion des Projets du MSPP,MSPP / Unite de Gestion du Projet PEPFAR,21 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Master,7.0,CDD,"[""grande capacité d'organisation et de gestion des priorités"", 'solides compétences en comptabilité par fonds', 'maîtriser les outils informatiques et les logiciels comptables', 'rigoureux, proactif et capable de travailler sous pression', 'capacité de s’exprimer et de produire des rapports en anglais']",https://jobpaw.com/professionals/job-details?idj=17261
Coordonnateur.rice adjoint.e - Education pour vivre ensemble (H/F),Expertise France,5 Dec 2025,Port-au-Prince,Sciences de l’Education,Enseignement supérieur,Master,5.0,CDD,"['Compétences démontrées en gestion et pilotage de projets de coopération internationale dans le domaine des systèmes éducatifs', 'Capacité à dialoguer, informer et reporter les informations au sein de l’équipe projet et aux partenaires bénéficiaires du projet', 'Excellente compréhension des enjeux autour du développement et du renforcement des compétences professionnelles des enseignants en Haïti', 'Capacité à mener un dialogue avec des partenaires publics et privés', 'Capacité à construire, entretenir, coordonner et animer des réseaux']",https://jobpaw.com/professionals/job-details?idj=17262
,,,,,,,,,,https://jobpaw.com/professionals/job-details?idj=17263
Directeur de l'Audit  Interne (SFF),Sevis Finansye Fonkoze S.A.,25 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,10.0,CDI,"['Excellente maîtrise des normes internationales d’audit interne', 'Compétences éprouvées en leadership', 'Compétences éprouvées en communication', 'Compétences éprouvées en analyse stratégique', 'Capacités d’analyse']",https://jobpaw.com/professionals/job-details?idj=17264
Analiste de risques Financiers,Sevis Finansye Fonkoze S.A.,25 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,5.0,CDI,"['Maîtrise des méthodes d’analyse quantitative', 'Outils statistiques', 'Bonne compréhension des normes comptables', 'Réglementation BRH', 'Excellentes compétences en Excel']",https://jobpaw.com/professionals/job-details?idj=17265
Coordonnateur/ trice Nationale Sécurite & Urgence,SOS Villages d'Enfants Haiti,25 Aout 2025,Petion-Ville,Sécurité,Sécurité,Master,5.0,CDI,"['Gestion de la sécurité dans des environnements précaires et complexes', 'Bonne compréhension des questions liées à la sécurité nationale', 'Connaissance en Gestion de Projet', 'Spécialité en Gestion d’urgence, de risques et Sécurité', 'Expérience d’au moins de trois ans dans le domaine de la Protection de l’Enfant']",https://jobpaw.com/professionals/job-details?idj=17266
Data and Technology Specialist,Sustainable Organic Integrated Livelihoods,26 Aout 2025,Cap-Haitien,Sciences Informatiques,Systèmes d'Information,Non précisé,5.0,CDI,"[""Gestion des systèmes d'information"", 'Gestion de projet', 'Administration de Salesforce', 'Analyse de données', 'Gestion des bases de données']",https://jobpaw.com/professionals/job-details?idj=17267
Warehouse Operative,Chemonics / GHSC-PSM,27 Aout 2025,Port-au-Prince,Transport et Logistique,Logistique,Non précisé,3.0,CDI,"['Team spirit', 'Attention to detail', 'Ability to lift a minimum of 30 KG', 'Good understanding of FEFO methods', 'Knowledge of World Health Organization (WHO) good storage practices for pharmaceutical products']",https://jobpaw.com/professionals/job-details?idj=17268
Conseiller(ère) Senior en Information Stratégique (IS),Family Health International (FHI360),27 Aout 2025,Petion-Ville,Santé et Professions médicales,Santé Publique,Master,12.0,,"['Capacité à gérer des projets, définir des priorités réalistes et planifier la mise en œuvre réussie des activités', 'Connaissance approfondie des programmes de santé et de développement en Haïti', 'Expérience dans le travail avec les structures de santé, les partenaires locaux de mise en œuvre et les associations de PVVIH', 'Solides compétences en diagnostic, analyse et résolution de problèmes', 'Capacité à échanger des informations, présenter des recommandations et collaborer avec des collègues et pairs']",https://jobpaw.com/professionals/job-details?idj=17270
Gestionnaire des douanes,Zanmi Lasante/PIH,27 Aout 2025,Port-au-Prince,Douane,Cargo freight,Master,5.0,CDI,"['Connaissance approfondie du Code des Douanes haïtien', 'Gestion douanière', 'Excellentes capacités de négociation', 'Gestion des priorités', 'Maîtrise des outils bureautiques']",https://jobpaw.com/professionals/job-details?idj=17271
"Coordonnateur (e) PSEAR (Planification, Suivi, Évaluation, Apprentissage et Redevabilité)",Federation Lutherienne Mondiale (FLM),27 Aout 2025,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Master,5.0,CDD,"['Compétences avancées en Microsoft Office 365', ""Aptitude pour les logiciels d'analyse des données comme R"", ""Aptitude pour les logiciels d'analyse des données comme Python"", ""Aptitude pour les logiciels d'analyse des données comme SPSS"", ""Aptitude pour les logiciels d'analyse des données comme Stata""]",https://jobpaw.com/professionals/job-details?idj=17272
Courtier douanier et logistique,Zanmi Lasante/PIH,27 Aout 2025,Port-au-Prince,Douane,Cargo freight,Non précisé,,CDD,"['Préparer et soumettre les dossiers complets de dédouanement', 'Gérer activement le suivi des quitus fiscaux', 'Coordonner les dédouanements aux ports de Port-au-Prince et Cap-Haïtien', 'Assurer une présence physique ou désignation d’un point focal permanent', 'Interagir avec les autorités compétentes']",https://jobpaw.com/professionals/job-details?idj=17273
"Agent(e), ERPTI",Ambassade du Canada,28 Aout 2025,Port-au-Prince,Sciences Informatiques,Technique Informatique,Licence,2.0,CDI,"[""Identifier, résoudre et consigner les incidents liés aux gestion de l'information et de la technologie (GIT)"", 'Fournir des conseils techniques et procéduraux sur l’utilisation des réseaux locaux', 'Fournir un accompagnement individuel en matière de GIT', 'Consigner les résolutions d’incidents relatifs aux GIT', 'Surveiller quotidiennement le système de suivi des billets et la boîte de réception des GIT']",https://jobpaw.com/professionals/job-details?idj=17274
Spécialiste en filières et commercialisation,MARNDR/Territoires Productifs Résilients II,28 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Master,5.0,CDI,"['Bonne connaissance des marchés nationaux et internationaux en lien aux filières ciblées', 'Bonne maîtrise de l’outil informatique (logiciels de base, internet, etc.)', 'Bonne maîtrise du français et du créole', 'Capacités d’analyse comparative, de synthèse et de rédaction', 'Sens d’organisation']",https://jobpaw.com/professionals/job-details?idj=17275
Chargé de Programme,Partenariat pour le Developpement Local,29 Aout 2025,Port-au-Prince,Agriculture – Agroalimentaire,Agronomie,Licence,3.0,CDD,"['Bonne connaissance des techniques de conservation de sols et de l’eau', 'Maîtrise des outils de suivi et d’évaluation', 'Solide capacité de rédaction et de communication écrite en Créole, Français', 'Bonne connaissance des logiciels informatiques de base', 'Aptitude à travailler avec des outils numériques collaboratifs']",https://jobpaw.com/professionals/job-details?idj=17276
Assistant de Programme,Partenariat pour le Developpement Local,29 Aout 2025,Saint-Raphael,Agriculture – Agroalimentaire,Agronomie,Licence,5.0,CDD,"['Maîtrise des outils de suivi et d’évaluation', 'Solide capacité de rédaction et de communication écrite en Créole, Français et Anglais', 'Bonne connaissance des logiciels informatiques de base (MS Word, Excel, PowerPoint)', 'Habilité éprouvée en NTIC', 'Leadership avéré']",https://jobpaw.com/professionals/job-details?idj=17277
Directeur du Contrôle Interne,Zanmi Lasante/PIH,29 Aout 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Audit et Conseil,Master,7.0,CDI,"['Excellente maîtrise des normes et outils de contrôle interne et d’audit', 'Capacité à analyser, diagnostiquer et proposer des solutions adaptées', 'Aptitude à travailler de manière proactive dans un environnement complexe et multisites', 'Excellentes compétences en communication écrite et orale', 'Intégrité, rigueur et sens de la confidentialité']",https://jobpaw.com/professionals/job-details?idj=17278
Driver,Plan International,5 Jan 2026,Port-au-Prince,Transport et Logistique,Logistique,Non précisé,,CDI,"['Capacité à gérer les priorités', 'Courtoisie', ""Travail d'équipe"", 'Dépannage', 'Conduite modérée et prudente']",https://jobpaw.com/professionals/job-details?idj=17280
Superviseur Duaniere,Industrias San Miguel,2 Sept 2025,Port-au-Prince,Marketing,Marketing,,,CDI,[],https://jobpaw.com/professionals/job-details?idj=17282
Professeur-e en Sciences de l’agriculture et de l’environnement,"Institut des Sciences, des Technologies et des Etudes Avancees d'Haiti",2 Sept 2025,Port-au-Prince,Agriculture – Agroalimentaire,Agriculture,Doctorat,,CDI,"['Excellente maîtrise de la langue française écrite et parlée', 'Capacité de s’exprimer en langue créole haïtien', 'Très bonne connaissance de la langue anglaise parlée et écrite', 'Bonne maîtrise des technologies de l’information et des communications (TIC)', 'Expérience en enseignement et en recherche universitaire']",https://jobpaw.com/professionals/job-details?idj=17283
Coordinador (a) de Trade Marketing,Industrias San Miguel,3 Sept 2025,Limonade,Marketing,Marketing,Licence,2.0,CDI,"['Liderazgo y capacidad de coordinación de equipos', 'Pensamiento estratégico y analítico', 'Creatividad e innovación para diseñar acciones en punto de venta', 'Orientación a resultados y capacidad de negociación', 'Excelentes habilidades de comunicación oral y escrita']",https://jobpaw.com/professionals/job-details?idj=17284
Controleur de Stock,Caribbean Grain Company S.A.,3 Sept 2025,Cap-Haitien,Transport et Logistique,Logistique,Licence,,CDI,"['Maîtrise des outils informatiques', 'Excellente organisation et rigueur', 'Bonnes compétences en communication', 'Connaissance des normes de sécurité et de qualité', 'Capacité à travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=17285
Contador (a) 3 en Limonade y 1 para Puerto-Principe,Industrias San Miguel,3 Sept 2025,Limonade,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,1.0,CDI,"['Connaissance en cierres contables mensuels/anuales', 'Conciliations bancaires', 'Élaboration de états financiers', 'Expérience en auditorías internes ou externes', 'Compétence en software contable']",https://jobpaw.com/professionals/job-details?idj=17286
Producteur audiovisuel,JobPaw,4 Sept 2025,Port-au-Prince,Sciences Informatiques,Réalisateur et Concepteur Multimédia,,,CDI,"['Expérience prouvée en production vidéo', 'Storytelling audiovisuel', 'Maîtrise des outils de montage (Premiere Pro, Final Cut, After Effects, etc.)', 'Expérience avec les formats digitaux', 'Capacité à vulgariser des contenus techniques']",https://jobpaw.com/professionals/job-details?idj=17287
Graphic Designer Freelance,JobPaw,4 Sept 2025,Port-au-Prince,Sciences Informatiques,Dessin Assisté par Ordinateur/Graphisme,,3.0,,"['Expérience confirmée en design graphique', 'Maîtrise des logiciels : Adobe Creative Suite ou équivalents', 'Compétences en motion design', 'Sens du branding', 'Capacité à travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=17288
Mentor Clinique,"Institut pour la Sante, la Population et le Développement",4 Sept 2025,Petion-Ville,Santé et Professions médicales,Management et Gestion des services de santé,Doctorat,5.0,CDI,"['Expérience clinique minimale de 5 ans', 'Connaissance du système de santé haïtien', 'Maîtrise des outils de collecte de données cliniques', 'Expérience en formation, mentorat ou supervision clinique', 'Solides compétences rédactionnelles']",https://jobpaw.com/professionals/job-details?idj=17289
Psychologue Mentor,"Institut pour la Sante, la Population et le Développement",4 Sept 2025,Petion-Ville,Sciences Humaines et Sociales,Psychologie,Non précisé,5.0,CDI,"['Expertise en counseling d’adhérence au VIH', 'Soins sensibles aux traumatismes', 'Intégration des services de santé mentale', 'Expérience en formation et mentorat de personnels de santé', 'Solides compétences rédactionnelles']",https://jobpaw.com/professionals/job-details?idj=17290
National Monitoring and Evaluation (M&E) Officer,Organisation Internationale pour les Migrations,4 Sept 2025,Port-au-Prince,Sciences Humaines et Sociales,Service Social,Master,2.0,CDD,"['Strong reporting, writing and research skills, preferably related to M&E', 'Excellent computer skills: excellent knowledge of MS Word, Excel, PowerPoint and email/internet software, statistical analysis packages.', 'Knowledge of UN cooperation frameworks and bilateral donor programming requirements', 'Knowledge in quantitative and qualitative data collection and analysis', 'Ability to consolidate information from multiple sources']",https://jobpaw.com/professionals/job-details?idj=17291
Chauffeur,Excellence Centre de Services et d'information S.A.,4 Sept 2025,Port-au-Prince,Transport et Logistique,Chauffeur,Non précisé,2.0,CDD,"['Connaissance de la conduite dans des endroits difficiles', 'Gérer les environnements peu sûrs', 'Planifier et obtenir des résultats', 'Autonomiser et renforcer la confiance', 'Communiquer de façon respectueuse et impactante']",https://jobpaw.com/professionals/job-details?idj=17292
Spécialiste en planification et gouvernance locale,Unite Technique d'Execution du Ministere de l'Economie et des Finances,5 Sept 2025,Port-au-Prince,Agriculture – Agroalimentaire,Ressources Naturelles et Environnement,,7.0,CDI,"['Planification et gestion de projets de développement', 'Mise en œuvre de plans de renforcement de capacités', 'Diagnostics participatifs', 'Travail avec des groupes communautaires', 'Préparation et conduite de formations']",https://jobpaw.com/professionals/job-details?idj=17293
Country Technical Senior Specialist - Food Security,Chemonics International Inc. / FEWS NET 8 Decision Support,6 Sept 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences du Développement,Licence,5.0,CDI,"['Excellent planning', 'organizational skills', 'analytical skills', 'report writing skills', 'Excellent computer skills']",https://jobpaw.com/professionals/job-details?idj=17294
Chauffeur,Family Health International (FHI360),8 Sept 2025,Cap-Haitien,Transport et Logistique,Chauffeur,Non précisé,3.0,CDD,"['Expérience en conduite', 'Permis de conduire valide', 'Dossier de conduite vierge', 'Expérience avec véhicules lourds ou équivalent', 'Capacité à rester assis/debout longtemps']",https://jobpaw.com/professionals/job-details?idj=17295
Chauffeur,Family Health International (FHI360),8 Sept 2025,Cayes,Transport et Logistique,Chauffeur,Non précisé,3.0,CDD,"[""3+ ans d'expérience en conduite"", 'Permis de conduire valide', 'Expérience avec véhicules lourds', 'Capacité à soulever/déplacer jusqu’à 25 kg', 'Technologies Utilisées : Ordinateur personnel/portable, applications Microsoft']",https://jobpaw.com/professionals/job-details?idj=17296
Finance Officer,World Renew,8 Sept 2025,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,3.0,CDD,"['Haute éthique et capacité à respecter la mission chrétienne', 'Participation active dans une communauté de foi', ""Engagement envers la diversité, l'inclusion et l'équité"", 'Capacité à travailler sous pression et à respecter les délais', 'Capacité à travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=17297
Logistics & Security Officer,World Renew,8 Sept 2025,Cap-Haitien,Transport et Logistique,Logistique,Licence,3.0,CDD,"['Haute éthique et respect des valeurs chrétiennes', 'Capacité de travailler sous pression', 'Excellentes compétences en communication', ""Engagement envers l'égalité des sexes"", 'Capacité à maintenir la confidentialité']",https://jobpaw.com/professionals/job-details?idj=17298
M&E Assistant,Plan International,8 Sept 2025,Jacmel,Sciences économiques et politiques,Statistiques,Licence,2.0,CDD,"['Suivi Évaluation', 'Gestion de systèmes d’informations', 'Conception de systèmes de base de données', 'Utilisation de la technologie dans la collection des données', 'Principe, méthodes et techniques d’évaluation']",https://jobpaw.com/professionals/job-details?idj=17299
Manager d’Expansion et des Partenariats,Care 2 Communities (C2C),8 Sept 2025,Cap-Haitien,Santé et Professions médicales,Management et Gestion des services de santé,Non précisé,2.0,,"['Leadership affirmé', 'Excellentes compétences en rédaction et en structuration de documents techniques', 'Capacité à gérer des projets stratégiques', ""Excellentes capacités d'organisation et de gestion des priorités"", 'Maîtrise des outils numériques et bureautiques']",https://jobpaw.com/professionals/job-details?idj=17300
